log10_e_nu,log10_F
2.04335,-7.01735996690941
2.13426,-6.68556272477454
2.22517,-6.38852830100695
2.31608,-6.13404996989547
2.40699,-5.92420620395907
2.4979,-5.75656446147816
2.58881,-5.62572752295426
2.67972,-5.52458542784033
2.77062,-5.44520552577931
2.86153,-5.37938483556537
2.95244,-5.31877251758182
3.04335,-5.25502089676693
3.13426,-5.18022543486026
3.22517,-5.08845505453016
3.31608,-4.97679786875059
3.40699,-4.84591902759672
3.4979,-4.69914871593074
3.58881,-4.5408921771244
3.67972,-4.37544259448293
3.77062,-4.20642524276578
3.86153,-4.03690589581875
3.95244,-3.86955848868914
4.04335,-3.70692225725853
4.13426,-3.55128557509182
4.22517,-3.40437669211323
4.31608,-3.26707828267515
4.40699,-3.13947955451105
4.4979,-3.02131098045669
4.58881,-2.91245823799483
4.67972,-2.81320154628384
4.77062,-2.72402042140762
4.86153,-2.64522066370188
4.95244,-2.57665387772125
5.04335,-2.5176837838564
5.13426,-2.46741104547505
5.22517,-2.42490815839256
5.31608,-2.3892718012805
5.40699,-2.35972769237691
5.4979,-2.33572688182616
5.58881,-2.31698409332164
5.67972,-2.30349740027837
5.77062,-2.29547434767378
5.86153,-2.29320438712133
5.95244,-2.29693139054773
6.04335,-2.30681358873378
6.13426,-2.32292553012049
6.22517,-2.34528288736324
6.31608,-2.37392709673352
6.40699,-2.40895351612629
6.4979,-2.45055175516516
6.58881,-2.49901479048251
6.67972,-2.5547383898285
6.77062,-2.6182319568386
6.86153,-2.69013509237174
6.95244,-2.77125501908954
7.04335,-2.86255570851351
7.13426,-2.96511009103548
7.22517,-3.08008907706044
7.31608,-3.20893258304166
7.40699,-3.35363248142703
7.4979,-3.51668162054609
7.58881,-3.70047585354996
7.67972,-3.90662000354007
7.77062,-4.13644261756115
7.86153,-4.39295709181277
7.95244,-4.68317608961702
8.04335,-5.02017552985535
8.13426,-5.4224266221254
8.22517,-5.91329226431588
8.31608,-6.51896570063021
8.40699,-7.27132774888559
8.4979,-8.23523575726428
8.58881,-9.44902923027573
8.67972,-10.9543957482793
8.77062,-12.2417054204701
8.86153,-13.1583170823552
8.95244,-14.2158358667439
9.04335,-15.301595989238
9.13426,-16.4403788462566
9.22517,-17.5982762185993
9.31608,-18.7044886852483
9.40699,-19.747371278546
9.4979,-20.8191696120505
9.58881,-21.791129065977
9.67972,-22.7789318743102
9.77062,-23.8350553694738
9.86153,-24.7344444280218
9.95244,-25.8484512173753
10.0434,-26.6857978985582
10.1343,-27.8524701344849
10.2252,-28.6796175839378
10.3161,-29.7166695073354
10.407,-30.4588257177662
10.4979,-34.3486257484688
10.5888,-35.8241271194827
10.6797,-37.9747469703845
10.7706,-44.2406679545462
10.8615,-178.756357491767
10.9524,-178.574539048422
11.0434,-178.392721164506
