log10_e_nu,log10_F
2.04335,-6.71327420703449
2.13426,-6.38164301943622
2.22517,-6.08489127287875
2.31608,-5.8308568922297
2.40699,-5.62162436312041
2.4979,-5.45471724850926
2.58881,-5.32464682664071
2.67972,-5.22418914421638
2.77062,-5.145298761226
2.86153,-5.0796917798337
2.95244,-5.01896715005282
3.04335,-4.95477518598969
3.13426,-4.87929542831819
3.22517,-4.78671157490475
3.31608,-4.67427293799386
3.40699,-4.54275658728536
3.4979,-4.39553111758481
3.58881,-4.23698697607365
3.67972,-4.07136422074792
3.77062,-3.90225665913138
3.86153,-3.73269011844086
3.95244,-3.56531902876011
4.04335,-3.40266977353685
4.13426,-3.24702161637817
4.22517,-3.10009209065711
4.31608,-2.96275971206511
4.40699,-2.83511249106677
4.4979,-2.71688180459074
4.58881,-2.60795442953608
4.67972,-2.5086067306024
4.77062,-2.41931325880047
4.86153,-2.34037275460879
4.95244,-2.27162924754317
5.04335,-2.21243781329795
5.13426,-2.161887076638
5.22517,-2.11903287975933
5.31608,-2.0829488178097
5.40699,-2.05283354212159
5.4979,-2.02810291716309
5.58881,-2.00842908607353
5.67972,-1.99375876396076
5.77062,-1.9842364831335
5.86153,-1.98007868484625
5.95244,-1.98144716076531
6.04335,-1.98841117941121
6.13426,-2.00095313155914
6.22517,-2.01900131409796
6.31608,-2.04251844670255
6.40699,-2.07153721009511
6.4979,-2.10620166001748
6.58881,-2.14677522949064
6.67972,-2.19362522349262
6.77062,-2.24720803232674
6.86153,-2.30805022500884
6.95244,-2.37676460807514
7.04335,-2.45408421423126
7.13426,-2.54090757900649
7.22517,-2.63828494885602
7.31608,-2.74736035343354
7.40699,-2.86946773705943
7.4979,-3.00642390952012
7.58881,-3.1607336377312
7.67972,-3.33517902287397
7.77062,-3.53194859110349
7.86153,-3.75231855806154
7.95244,-3.99818029415106
8.04335,-4.27447874502127
8.13426,-4.59259762231752
8.22517,-4.97131559800038
8.31608,-5.43600258175379
8.40699,-6.01552623815229
8.4979,-6.7359318866701
8.58881,-7.6404146543801
8.67972,-8.77937241806905
8.77062,-10.1891579413213
8.86153,-11.6019580296681
8.95244,-12.7057868357069
9.04335,-13.7267155693557
9.13426,-14.782614075072
9.22517,-15.9550837678338
9.31608,-17.0723334499107
9.40699,-18.2898970634911
9.4979,-19.1579394730268
9.58881,-20.501385918032
9.67972,-21.2665268857311
9.77062,-22.4240299514213
9.86153,-23.1829474456858
9.95244,-24.3271409938283
10.0434,-25.0952298432497
10.1343,-26.1598142254578
10.2252,-26.9676187421316
10.3161,-27.9961244195848
10.407,-28.7730441294689
10.4979,-33.2159892117607
10.5888,-34.6520291122927
10.6797,-36.8204511087942
10.7706,-43.1485423324912
10.8615,-179.024164668974
10.9524,-178.842346169749
11.0434,-178.660528110563
