,log10E_GeV,fluence_GeV
0,2.04335,-6.71327420703449
1,2.13426,-6.38164301943622
2,2.22517,-6.08489127287875
3,2.31608,-5.8308568922297
4,2.40699,-5.62162436312041
5,2.4979,-5.45471724850926
6,2.58881,-5.32464682664071
7,2.67972,-5.22418914421638
8,2.77062,-5.145298761226
9,2.86153,-5.0796917798337
10,2.95244,-5.01896715005282
11,3.04335,-4.95477518598969
12,3.13426,-4.87929542831819
13,3.22517,-4.78671157490475
14,3.31608,-4.67427293799386
15,3.40699,-4.54275658728536
16,3.4979,-4.39553111758481
17,3.58881,-4.23698697607365
18,3.67972,-4.07136422074792
19,3.77062,-3.90225665913138
20,3.86153,-3.73269011844086
21,3.95244,-3.56531902876011
22,4.04335,-3.40266977353685
23,4.13426,-3.24702161637817
24,4.22517,-3.10009209065711
25,4.31608,-2.96275971206511
26,4.40699,-2.83511249106677
27,4.4979,-2.71688180459074
28,4.58881,-2.60795442953608
29,4.67972,-2.5086067306024
30,4.77062,-2.41931325880047
31,4.86153,-2.34037275460879
32,4.95244,-2.27162924754317
33,5.04335,-2.21243781329795
34,5.13426,-2.161887076638
35,5.22517,-2.11903287975933
36,5.31608,-2.0829488178097
37,5.40699,-2.05283354212159
38,5.4979,-2.02810291716309
39,5.58881,-2.00842908607353
40,5.67972,-1.99375876396076
41,5.77062,-1.9842364831335
42,5.86153,-1.98007868484625
43,5.95244,-1.98144716076531
44,6.04335,-1.98841117941121
45,6.13426,-2.00095313155914
46,6.22517,-2.01900131409796
47,6.31608,-2.04251844670255
48,6.40699,-2.07153721009511
49,6.4979,-2.10620166001748
50,6.58881,-2.14677522949064
51,6.67972,-2.19362522349262
52,6.77062,-2.24720803232674
53,6.86153,-2.30805022500884
54,6.95244,-2.37676460807514
55,7.04335,-2.45408421423126
56,7.13426,-2.54090757900649
57,7.22517,-2.63828494885602
58,7.31608,-2.74736035343354
59,7.40699,-2.86946773705943
60,7.4979,-3.00642390952012
61,7.58881,-3.1607336377312
62,7.67972,-3.33517902287397
63,7.77062,-3.53194859110349
64,7.86153,-3.75231855806154
65,7.95244,-3.99818029415106
66,8.04335,-4.27447874502127
67,8.13426,-4.59259762231752
68,8.22517,-4.97131559800038
69,8.31608,-5.43600258175379
70,8.40699,-6.01552623815229
71,8.4979,-6.7359318866701
72,8.58881,-7.6404146543801
73,8.67972,-8.77937241806905
74,8.77062,-10.1891579413213
75,8.86153,-11.6019580296681
76,8.95244,-12.7057868357069
77,9.04335,-13.7267155693557
78,9.13426,-14.782614075072
79,9.22517,-15.9550837678338
80,9.31608,-17.0723334499107
81,9.40699,-18.2898970634911
82,9.4979,-19.1579394730268
83,9.58881,-20.501385918032
84,9.67972,-21.2665268857311
85,9.77062,-22.4240299514213
86,9.86153,-23.1829474456858
87,9.95244,-24.3271409938283
88,10.0434,-25.0952298432497
89,10.1343,-26.1598142254578
90,10.2252,-26.9676187421316
91,10.3161,-27.9961244195848
92,10.407,-28.7730441294689
93,10.4979,-33.2159892117607
94,10.5888,-34.6520291122927
95,10.6797,-36.8204511087942
96,10.7706,-43.1485423324912
97,10.8615,-179.024164668974
98,10.9524,-178.842346169749
99,11.0434,-178.660528110563
