,log10E_GeV,fluence_GeV
0,2.04335,-7.01735996690941
1,2.13426,-6.68556272477454
2,2.22517,-6.38852830100695
3,2.31608,-6.13404996989547
4,2.40699,-5.92420620395907
5,2.4979,-5.75656446147816
6,2.58881,-5.62572752295426
7,2.67972,-5.52458542784033
8,2.77062,-5.44520552577931
9,2.86153,-5.37938483556537
10,2.95244,-5.31877251758182
11,3.04335,-5.25502089676693
12,3.13426,-5.18022543486026
13,3.22517,-5.08845505453016
14,3.31608,-4.97679786875059
15,3.40699,-4.84591902759672
16,3.4979,-4.69914871593074
17,3.58881,-4.5408921771244
18,3.67972,-4.37544259448293
19,3.77062,-4.20642524276578
20,3.86153,-4.03690589581875
21,3.95244,-3.86955848868914
22,4.04335,-3.70692225725853
23,4.13426,-3.55128557509182
24,4.22517,-3.40437669211323
25,4.31608,-3.26707828267515
26,4.40699,-3.13947955451105
27,4.4979,-3.02131098045669
28,4.58881,-2.91245823799483
29,4.67972,-2.81320154628384
30,4.77062,-2.72402042140762
31,4.86153,-2.64522066370188
32,4.95244,-2.57665387772125
33,5.04335,-2.5176837838564
34,5.13426,-2.46741104547505
35,5.22517,-2.42490815839256
36,5.31608,-2.3892718012805
37,5.40699,-2.35972769237691
38,5.4979,-2.33572688182616
39,5.58881,-2.31698409332164
40,5.67972,-2.30349740027837
41,5.77062,-2.29547434767378
42,5.86153,-2.29320438712133
43,5.95244,-2.29693139054773
44,6.04335,-2.30681358873378
45,6.13426,-2.32292553012049
46,6.22517,-2.34528288736324
47,6.31608,-2.37392709673352
48,6.40699,-2.40895351612629
49,6.4979,-2.45055175516516
50,6.58881,-2.49901479048251
51,6.67972,-2.5547383898285
52,6.77062,-2.6182319568386
53,6.86153,-2.69013509237174
54,6.95244,-2.77125501908954
55,7.04335,-2.86255570851351
56,7.13426,-2.96511009103548
57,7.22517,-3.08008907706044
58,7.31608,-3.20893258304166
59,7.40699,-3.35363248142703
60,7.4979,-3.51668162054609
61,7.58881,-3.70047585354996
62,7.67972,-3.90662000354007
63,7.77062,-4.13644261756115
64,7.86153,-4.39295709181277
65,7.95244,-4.68317608961702
66,8.04335,-5.02017552985535
67,8.13426,-5.4224266221254
68,8.22517,-5.91329226431588
69,8.31608,-6.51896570063021
70,8.40699,-7.27132774888559
71,8.4979,-8.23523575726428
72,8.58881,-9.44902923027573
73,8.67972,-10.9543957482793
74,8.77062,-12.2417054204701
75,8.86153,-13.1583170823552
76,8.95244,-14.2158358667439
77,9.04335,-15.301595989238
78,9.13426,-16.4403788462566
79,9.22517,-17.5982762185993
80,9.31608,-18.7044886852483
81,9.40699,-19.747371278546
82,9.4979,-20.8191696120505
83,9.58881,-21.791129065977
84,9.67972,-22.7789318743102
85,9.77062,-23.8350553694738
86,9.86153,-24.7344444280218
87,9.95244,-25.8484512173753
88,10.0434,-26.6857978985582
89,10.1343,-27.8524701344849
90,10.2252,-28.6796175839378
91,10.3161,-29.7166695073354
92,10.407,-30.4588257177662
93,10.4979,-34.3486257484688
94,10.5888,-35.8241271194827
95,10.6797,-37.9747469703845
96,10.7706,-44.2406679545462
97,10.8615,-178.756357491767
98,10.9524,-178.574539048422
99,11.0434,-178.392721164506
