 1 2 3 4 5 6 7 8 9 10 11 12
10746100000 1.20282E-17 1.20282E-17 1.20282E-17 1.20282E-17 1.20282E-17 3.04617E-19 4.73749E-19 1.52959E-15 0 0 10.9593 0
12409400000 6.27518E-18 6.27518E-18 6.27518E-18 6.27518E-18 6.27518E-18 2.81076E-19 4.3788E-19 1.5805E-15 0 0 13.1193 0
14330100000 3.21856E-18 3.21856E-18 3.21856E-18 3.21856E-18 3.21856E-18 2.59147E-19 4.0439E-19 1.60575E-15 0 0 15.7049 0
16548200000 1.63771E-18 1.63771E-18 1.63771E-18 1.63771E-18 1.63771E-18 2.38683E-19 3.72994E-19 1.61727E-15 0 0 18.8001 0
19109500000 8.31758E-19 8.31758E-19 8.31758E-19 8.31758E-19 8.31758E-19 2.19675E-19 3.43723E-19 1.588E-15 0 0 22.5053 0
22067300000 4.25134E-19 4.25134E-19 4.25134E-19 4.25134E-19 4.25134E-19 2.02059E-19 3.16683E-19 1.5633E-15 0 0 26.9407 34.7254
25483000000 2.22082E-19 2.22082E-19 2.22082E-19 2.22082E-19 2.22082E-19 1.85747E-19 2.91529E-19 1.50049E-15 0 0 32.2503 22.9578
29427300000 1.20112E-19 1.20112E-19 1.20112E-19 1.20112E-19 1.20112E-19 1.70699E-19 2.68305E-19 1.4343E-15 0 0 38.6064 15.5417
33982100000 6.74317E-20 6.74317E-20 6.74317E-20 6.74317E-20 6.74317E-20 1.56804E-19 2.46801E-19 1.37433E-15 0 0 46.2151 10.7604
39241900000 3.90686E-20 3.90686E-20 3.90686E-20 3.90686E-20 3.90686E-20 1.43972E-19 2.27003E-19 1.27059E-15 0 0 55.3235 7.61059
45315800000 2.31768E-20 2.31769E-20 2.31769E-20 2.31769E-20 2.31769E-20 1.32159E-19 2.08743E-19 1.14501E-15 0 0 66.2269 5.49245
52329900000 1.39885E-20 1.39886E-20 1.39886E-20 1.39886E-20 1.39886E-20 1.21294E-19 1.91853E-19 1.05409E-15 0 0 79.2792 4.04008
