#wave(A)    	flux(maggies)	flux(ABmag)
1.155700e+02	2.419979e-63	1.565405e+02
1.193800e+02	2.419979e-63	1.565405e+02
1.219200e+02	2.419979e-63	1.565405e+02
1.244600e+02	2.419979e-63	1.565405e+02
1.270000e+02	2.419979e-63	1.565405e+02
1.295400e+02	2.419979e-63	1.565405e+02
1.320800e+02	2.419979e-63	1.565405e+02
1.346200e+02	2.419979e-63	1.565405e+02
1.371600e+02	2.419979e-63	1.565405e+02
1.397000e+02	2.419979e-63	1.565405e+02
1.447800e+02	2.419979e-63	1.565405e+02
1.498600e+02	2.419979e-63	1.565405e+02
1.536700e+02	2.419979e-63	1.565405e+02
1.587500e+02	2.419979e-63	1.565405e+02
1.612900e+02	2.419979e-63	1.565405e+02
1.625600e+02	2.419979e-63	1.565405e+02
1.663700e+02	2.419979e-63	1.565405e+02
1.676400e+02	2.419979e-63	1.565405e+02
1.701800e+02	2.419979e-63	1.565405e+02
1.739900e+02	2.419979e-63	1.565405e+02
1.778000e+02	2.419979e-63	1.565405e+02
1.816100e+02	2.419979e-63	1.565405e+02
1.866900e+02	2.419979e-63	1.565405e+02
1.917700e+02	2.419979e-63	1.565405e+02
1.968500e+02	2.419979e-63	1.565405e+02
2.019300e+02	2.419979e-63	1.565405e+02
2.057400e+02	2.419979e-63	1.565405e+02
2.108200e+02	2.419979e-63	1.565405e+02
2.159000e+02	2.419979e-63	1.565405e+02
2.197100e+02	2.419979e-63	1.565405e+02
2.247900e+02	2.419979e-63	1.565405e+02
2.286000e+02	2.419979e-63	1.565405e+02
2.311400e+02	2.419979e-63	1.565405e+02
2.362200e+02	2.419979e-63	1.565405e+02
2.425700e+02	2.419979e-63	1.565405e+02
2.463800e+02	2.419979e-63	1.565405e+02
2.514600e+02	2.419979e-63	1.565405e+02
2.565400e+02	2.419979e-63	1.565405e+02
2.603500e+02	2.419979e-63	1.565405e+02
2.667000e+02	2.419979e-63	1.565405e+02
2.743200e+02	2.419979e-63	1.565405e+02
2.794000e+02	2.419979e-63	1.565405e+02
2.832100e+02	2.419979e-63	1.565405e+02
2.882900e+02	2.419979e-63	1.565405e+02
2.921000e+02	2.419979e-63	1.565405e+02
2.971800e+02	2.419979e-63	1.565405e+02
3.048000e+02	2.419979e-63	1.565405e+02
3.124200e+02	2.419979e-63	1.565405e+02
3.200400e+02	2.419979e-63	1.565405e+02
3.263900e+02	2.419979e-63	1.565405e+02
3.302000e+02	2.419979e-63	1.565405e+02
3.352800e+02	2.419979e-63	1.565405e+02
3.416300e+02	2.419979e-63	1.565405e+02
3.479800e+02	2.419979e-63	1.565405e+02
3.543300e+02	2.419979e-63	1.565405e+02
3.606800e+02	2.419979e-63	1.565405e+02
3.683000e+02	2.419979e-63	1.565405e+02
3.759200e+02	2.419979e-63	1.565405e+02
3.822700e+02	2.419979e-63	1.565405e+02
3.911600e+02	2.419979e-63	1.565405e+02
4.038600e+02	2.419979e-63	1.565405e+02
4.165600e+02	1.422165e-58	1.446176e+02
4.292600e+02	5.929919e-54	1.330674e+02
4.419600e+02	1.498726e-49	1.220607e+02
4.533900e+02	7.995479e-47	1.152429e+02
4.648200e+02	5.707887e-43	1.056088e+02
4.762500e+02	3.577084e-40	9.861618e+01
4.889500e+02	2.298324e-37	9.159647e+01
5.016500e+02	3.277522e-35	8.621114e+01
5.143500e+02	9.807542e-33	8.002110e+01
5.257800e+02	6.369529e-31	7.548973e+01
5.359400e+02	1.286111e-29	7.222680e+01
5.461000e+02	2.578233e-28	6.897169e+01
5.600700e+02	4.139934e-27	6.595752e+01
5.727700e+02	3.344637e-25	6.118913e+01
5.842000e+02	2.103677e-24	5.919255e+01
5.969000e+02	6.475339e-23	5.547184e+01
6.096000e+02	3.041418e-22	5.379231e+01
6.223000e+02	3.053308e-21	5.128807e+01
6.350000e+02	3.309840e-20	4.870048e+01
6.426200e+02	6.812548e-20	4.791673e+01
6.502400e+02	2.447241e-19	4.652831e+01
6.604000e+02	1.043495e-18	4.495377e+01
6.731000e+02	3.577953e-18	4.361591e+01
6.858000e+02	1.333014e-18	4.468791e+01
6.985000e+02	5.859733e-18	4.308031e+01
7.112000e+02	1.371065e-16	3.965736e+01
7.239000e+02	3.965687e-16	3.850420e+01
7.366000e+02	7.111550e-16	3.787009e+01
7.493000e+02	2.974167e-15	3.631659e+01
7.620000e+02	3.888861e-15	3.602544e+01
7.747000e+02	1.564056e-14	3.451437e+01
7.874000e+02	2.034995e-14	3.422859e+01
8.001000e+02	3.434526e-14	3.366033e+01
8.128000e+02	6.032722e-14	3.304872e+01
8.255000e+02	1.243323e-13	3.226354e+01
8.356600e+02	1.456272e-13	3.209189e+01
8.445500e+02	2.062699e-13	3.171391e+01
8.572500e+02	4.194375e-13	3.094333e+01
8.699500e+02	5.901189e-13	3.057265e+01
8.826500e+02	8.097360e-13	3.022914e+01
8.953500e+02	1.247654e-12	2.975976e+01
9.093200e+02	2.062220e-12	2.921416e+01
9.220200e+02	2.742308e-12	2.890471e+01
9.334500e+02	3.394521e-12	2.867305e+01
9.461500e+02	4.040818e-12	2.848383e+01
9.588500e+02	3.738854e-12	2.856815e+01
9.715500e+02	8.514769e-12	2.767457e+01
9.842500e+02	8.927637e-12	2.762316e+01
9.969500e+02	1.948118e-12	2.927596e+01
1.009650e+03	1.465829e-11	2.708479e+01
1.022350e+03	1.717046e-11	2.691305e+01
1.035050e+03	1.925753e-11	2.678850e+01
1.047750e+03	2.415105e-11	2.654266e+01
1.060450e+03	1.997647e-11	2.674870e+01
1.073150e+03	3.231215e-11	2.622659e+01
1.085850e+03	3.264069e-11	2.621560e+01
1.098550e+03	3.761427e-11	2.606162e+01
1.111250e+03	4.674526e-11	2.582566e+01
1.123950e+03	5.394798e-11	2.567006e+01
1.136650e+03	6.165228e-11	2.552513e+01
1.149350e+03	6.632919e-11	2.544574e+01
1.162050e+03	2.634249e-10	2.394836e+01
1.174750e+03	2.589150e-10	2.396711e+01
1.187450e+03	3.924679e-10	2.351549e+01
1.200150e+03	4.416582e-10	2.338728e+01
1.212850e+03	3.082736e-10	2.377766e+01
1.225550e+03	5.023365e-10	2.324751e+01
1.238250e+03	2.408233e-10	2.404575e+01
1.250950e+03	3.963958e-10	2.350468e+01
1.263650e+03	4.089474e-10	2.347083e+01
1.276350e+03	6.736107e-10	2.292898e+01
1.289050e+03	6.341127e-10	2.299458e+01
1.301750e+03	4.658495e-10	2.332939e+01
1.314450e+03	5.495209e-10	2.315004e+01
1.327150e+03	8.980080e-10	2.261680e+01
1.339850e+03	9.136544e-10	2.259805e+01
1.352550e+03	9.420508e-10	2.256481e+01
1.365250e+03	1.008763e-09	2.249053e+01
1.377950e+03	8.258678e-10	2.270772e+01
1.390650e+03	1.105825e-09	2.239078e+01
1.403350e+03	1.105159e-09	2.239144e+01
1.416050e+03	9.562732e-10	2.254855e+01
1.428750e+03	8.292978e-10	2.270322e+01
1.441450e+03	1.184308e-09	2.231634e+01
1.454150e+03	1.013256e-09	2.248570e+01
1.466850e+03	1.235943e-09	2.227000e+01
1.479550e+03	1.328242e-09	2.219181e+01
1.492250e+03	8.382890e-10	2.269152e+01
1.504950e+03	1.217421e-09	2.228640e+01
1.517650e+03	1.321534e-09	2.219730e+01
1.530350e+03	1.245393e-09	2.226173e+01
1.543050e+03	8.670484e-10	2.265489e+01
1.555750e+03	1.172590e-09	2.232713e+01
1.568450e+03	1.316059e-09	2.220181e+01
1.581150e+03	1.721681e-09	2.191012e+01
1.593850e+03	1.680293e-09	2.193654e+01
1.606550e+03	1.646404e-09	2.195866e+01
1.619250e+03	1.863452e-09	2.182420e+01
1.631950e+03	1.909202e-09	2.179787e+01
1.644650e+03	1.681765e-09	2.193559e+01
1.657350e+03	1.825665e-09	2.184645e+01
1.670050e+03	1.939546e-09	2.178075e+01
1.682750e+03	1.844858e-09	2.183509e+01
1.695450e+03	1.802993e-09	2.186001e+01
1.708150e+03	2.130948e-09	2.167857e+01
1.720850e+03	1.944478e-09	2.177799e+01
1.733550e+03	1.914755e-09	2.179472e+01
1.746250e+03	1.978947e-09	2.175891e+01
1.758950e+03	1.989400e-09	2.175319e+01
1.771650e+03	2.211084e-09	2.163849e+01
1.784350e+03	2.340735e-09	2.157662e+01
1.797050e+03	2.135686e-09	2.167616e+01
1.809750e+03	2.063953e-09	2.171325e+01
1.822450e+03	2.185519e-09	2.165111e+01
1.831340e+03	2.288784e-09	2.160099e+01
1.837690e+03	2.360817e-09	2.156734e+01
1.847850e+03	2.248793e-09	2.162013e+01
1.860550e+03	2.225859e-09	2.163126e+01
1.873250e+03	2.333834e-09	2.157982e+01
1.885950e+03	2.318720e-09	2.158688e+01
1.898650e+03	2.439506e-09	2.153175e+01
1.911350e+03	2.247311e-09	2.162084e+01
1.920240e+03	2.109565e-09	2.168952e+01
1.926590e+03	2.302742e-09	2.159439e+01
1.936750e+03	2.180654e-09	2.165353e+01
1.949450e+03	2.083015e-09	2.170327e+01
1.962150e+03	1.495155e-09	2.206328e+01
1.974850e+03	2.589982e-09	2.146676e+01
1.987550e+03	2.184252e-09	2.165174e+01
2.000250e+03	2.114142e-09	2.168716e+01
2.012950e+03	2.266011e-09	2.161184e+01
2.025650e+03	2.486427e-09	2.151106e+01
2.038350e+03	2.578088e-09	2.147176e+01
2.051050e+03	2.586371e-09	2.146827e+01
2.063750e+03	2.558586e-09	2.148000e+01
2.076450e+03	2.435315e-09	2.153361e+01
2.089150e+03	2.581052e-09	2.147051e+01
2.101850e+03	2.601194e-09	2.146207e+01
2.114550e+03	2.537369e-09	2.148904e+01
2.123440e+03	2.346500e-09	2.157395e+01
2.129790e+03	2.585798e-09	2.146851e+01
2.139950e+03	2.925940e-09	2.133434e+01
2.152650e+03	2.704741e-09	2.141969e+01
2.165350e+03	2.767727e-09	2.139469e+01
2.178050e+03	2.606938e-09	2.145967e+01
2.190750e+03	2.501208e-09	2.150463e+01
2.203450e+03	2.887942e-09	2.134853e+01
2.216150e+03	2.665955e-09	2.143537e+01
2.228850e+03	3.049249e-09	2.128952e+01
2.241550e+03	2.897637e-09	2.134489e+01
2.254250e+03	2.775425e-09	2.139168e+01
2.266950e+03	2.934288e-09	2.133124e+01
