#wave(A)    	flux(maggies)	flux(ABmag)
1.155700e+02	1.892769e-63	1.568073e+02
1.193800e+02	1.892769e-63	1.568073e+02
1.219200e+02	1.892769e-63	1.568073e+02
1.244600e+02	1.892769e-63	1.568073e+02
1.270000e+02	1.892769e-63	1.568073e+02
1.295400e+02	1.892769e-63	1.568073e+02
1.320800e+02	1.892769e-63	1.568073e+02
1.346200e+02	1.892769e-63	1.568073e+02
1.371600e+02	1.892769e-63	1.568073e+02
1.397000e+02	1.892769e-63	1.568073e+02
1.447800e+02	1.892769e-63	1.568073e+02
1.498600e+02	1.892769e-63	1.568073e+02
1.536700e+02	1.892769e-63	1.568073e+02
1.587500e+02	1.892769e-63	1.568073e+02
1.612900e+02	1.892769e-63	1.568073e+02
1.625600e+02	1.892769e-63	1.568073e+02
1.663700e+02	1.892769e-63	1.568073e+02
1.676400e+02	1.892769e-63	1.568073e+02
1.701800e+02	1.892769e-63	1.568073e+02
1.739900e+02	1.892769e-63	1.568073e+02
1.778000e+02	1.892769e-63	1.568073e+02
1.816100e+02	1.892769e-63	1.568073e+02
1.866900e+02	1.892769e-63	1.568073e+02
1.917700e+02	1.892769e-63	1.568073e+02
1.968500e+02	1.892769e-63	1.568073e+02
2.019300e+02	1.892769e-63	1.568073e+02
2.057400e+02	1.892769e-63	1.568073e+02
2.108200e+02	1.892769e-63	1.568073e+02
2.159000e+02	1.892769e-63	1.568073e+02
2.197100e+02	1.892769e-63	1.568073e+02
2.247900e+02	1.892769e-63	1.568073e+02
2.286000e+02	1.892769e-63	1.568073e+02
2.311400e+02	1.892769e-63	1.568073e+02
2.362200e+02	1.892769e-63	1.568073e+02
2.425700e+02	1.892769e-63	1.568073e+02
2.463800e+02	1.892769e-63	1.568073e+02
2.514600e+02	1.892769e-63	1.568073e+02
2.565400e+02	1.892769e-63	1.568073e+02
2.603500e+02	1.892769e-63	1.568073e+02
2.667000e+02	1.892769e-63	1.568073e+02
2.743200e+02	1.892769e-63	1.568073e+02
2.794000e+02	1.892769e-63	1.568073e+02
2.832100e+02	1.892769e-63	1.568073e+02
2.882900e+02	1.892769e-63	1.568073e+02
2.921000e+02	6.186636e-62	1.530214e+02
2.971800e+02	1.132911e-58	1.448645e+02
3.048000e+02	2.003127e-54	1.342457e+02
3.124200e+02	7.572624e-51	1.253019e+02
3.200400e+02	1.359984e-47	1.171662e+02
3.263900e+02	2.483395e-45	1.115124e+02
3.302000e+02	5.220586e-44	1.082057e+02
3.352800e+02	2.694095e-42	1.039240e+02
3.416300e+02	2.334649e-40	9.907945e+01
3.479800e+02	1.676195e-38	9.443919e+01
3.543300e+02	5.919576e-37	9.056927e+01
3.606800e+02	2.235442e-35	8.662659e+01
3.683000e+02	8.459329e-34	8.268166e+01
3.759200e+02	3.171926e-32	7.874669e+01
3.822700e+02	4.859109e-31	7.578361e+01
3.911600e+02	1.475513e-29	7.207764e+01
4.038600e+02	1.353617e-27	6.717126e+01
4.165600e+02	7.223190e-26	6.285318e+01
4.292600e+02	1.649606e-24	5.945655e+01
4.419600e+02	3.396738e-23	5.617234e+01
4.533900e+02	3.239713e-22	5.372373e+01
4.648200e+02	2.931723e-21	5.133219e+01
4.762500e+02	1.445039e-20	4.960030e+01
4.889500e+02	1.215007e-19	4.728855e+01
5.016500e+02	6.232816e-19	4.551329e+01
5.143500e+02	2.814426e-18	4.387653e+01
5.257800e+02	9.779039e-18	4.252426e+01
5.359400e+02	2.509523e-17	4.150102e+01
5.461000e+02	6.200614e-17	4.051891e+01
5.600700e+02	1.708647e-16	3.941837e+01
5.727700e+02	4.547453e-16	3.835558e+01
5.842000e+02	9.242746e-16	3.758550e+01
5.969000e+02	2.106401e-15	3.669115e+01
6.096000e+02	3.757199e-15	3.606284e+01
6.223000e+02	6.386450e-15	3.548685e+01
6.350000e+02	1.322105e-14	3.469683e+01
6.426200e+02	1.898414e-14	3.430402e+01
