#wave(A)    	flux(maggies)	flux(ABmag)
1.152606e+02	3.309432e-63	1.562006e+02
1.190604e+02	3.309432e-63	1.562006e+02
1.215936e+02	3.309432e-63	1.562006e+02
1.241268e+02	3.309432e-63	1.562006e+02
1.266600e+02	3.309432e-63	1.562006e+02
1.291932e+02	3.309432e-63	1.562006e+02
1.317264e+02	3.309432e-63	1.562006e+02
1.342596e+02	3.309432e-63	1.562006e+02
1.367928e+02	3.309432e-63	1.562006e+02
1.393260e+02	3.309432e-63	1.562006e+02
1.443924e+02	3.309432e-63	1.562006e+02
1.494588e+02	3.309432e-63	1.562006e+02
1.532586e+02	3.309432e-63	1.562006e+02
1.583250e+02	3.309432e-63	1.562006e+02
1.608582e+02	3.309432e-63	1.562006e+02
1.621248e+02	3.309432e-63	1.562006e+02
1.659246e+02	3.309432e-63	1.562006e+02
1.671912e+02	3.309432e-63	1.562006e+02
1.697244e+02	3.309432e-63	1.562006e+02
1.735242e+02	3.309432e-63	1.562006e+02
1.773240e+02	3.309432e-63	1.562006e+02
1.811238e+02	3.309432e-63	1.562006e+02
1.861902e+02	3.309432e-63	1.562006e+02
1.912566e+02	3.309432e-63	1.562006e+02
1.963230e+02	3.309432e-63	1.562006e+02
2.013894e+02	3.309432e-63	1.562006e+02
2.051892e+02	3.309432e-63	1.562006e+02
2.102556e+02	3.309432e-63	1.562006e+02
2.153220e+02	3.309432e-63	1.562006e+02
2.191218e+02	3.309432e-63	1.562006e+02
2.241882e+02	3.309432e-63	1.562006e+02
2.279880e+02	3.309432e-63	1.562006e+02
2.305212e+02	3.309432e-63	1.562006e+02
2.355876e+02	3.309432e-63	1.562006e+02
2.419206e+02	3.309432e-63	1.562006e+02
2.457204e+02	3.309432e-63	1.562006e+02
2.507868e+02	3.309432e-63	1.562006e+02
2.558532e+02	3.309432e-63	1.562006e+02
2.596530e+02	3.309432e-63	1.562006e+02
2.659860e+02	3.309432e-63	1.562006e+02
2.735856e+02	3.309432e-63	1.562006e+02
2.786520e+02	3.309432e-63	1.562006e+02
