jd,obsmjd,telescope,band,abmag,abmag_err,alert
2458660.28854484,58659.7885448448,Swift,UVW1,18.9585,0.0973,True
2458660.29051287,58659.7905128747,Swift,U,18.3525,0.1006,True
2458660.29152435,58659.7915243534,Swift,B,18.2866,0.1191,True
2458660.29445714,58659.7944571436,Swift,UVW2,19.3653,0.0996,True
2458660.29738176,58659.7973817615,Swift,V,17.9496,0.1709,True
2458660.30160447,58659.8016044712,Swift,UVM2,19.2596,0.0883,True
2458672.95259554,58672.4525955366,Swift,UVW1,19.1554,0.99,True
2458672.95361919,58672.4536191868,Swift,U,18.5719,0.1037,True
2458672.95411458,58672.4541145829,Swift,B,18.3378,0.1145,True
2458672.95533274,58672.455332737,Swift,UVW2,19.7299,0.1063,True
2458672.95688443,58672.4568844326,Swift,V,18.2532,0.1903,True
2458672.95876565,58672.4587656469,Swift,UVM2,19.568,0.0902,True
2458678.76710713,58678.267107131,Swift,UVW1,19.3658,0.1235,True
2458678.7679651,58678.2679651007,Swift,U,18.5943,0.1214,True
2458678.76840872,58678.2684087162,Swift,B,18.0148,0.1145,True
2458678.76961538,58678.2696153778,Swift,UVW2,19.9451,0.1286,True
2458678.77088991,58678.270889909,Swift,V,18.0626,0.2022,True
2458678.77266935,58678.2726693503,Swift,UVM2,19.7591,0.1063,True
2458684.26239788,58683.7623978765,Swift,U,18.6896,0.1905,True
2458684.26277177,58683.7627717699,Swift,B,18.2229,0.1923,True
2458684.26379921,58683.7637992092,Swift,UVW2,19.7372,0.1717,True
2458684.26481369,58683.7648136886,Swift,V,18.0896,0.3139,True
2458684.26606204,58683.7660620427,Swift,UVM2,19.3783,0.1544,True
2458684.33072332,58683.8307233239,Swift,UVW1,19.1599,0.106,True
2458688.90832061,58688.4083206081,Swift,UVW1,19.2372,0.1531,True
2458688.90928845,58688.4092884474,Swift,U,18.44,0.148,True
2458688.90980274,58688.4098027423,Swift,B,18.3001,0.1764,True
2458688.91124756,58688.4112475566,Swift,UVW2,19.5687,0.1387,True
2458688.91267915,58688.412679154,Swift,V,18.2809,0.3,True
