year       	mjd         	mag_vega    	e_mag       	diff_flux_mJy	e_diff_flux_mJy
2.010167e+03	5.525791e+04	1.487703e+01	4.387302e-02	-3.384420e-02	1.446937e-02
2.010664e+03	5.543919e+04	1.484601e+01	4.192958e-02	-2.388694e-02	1.424846e-02
2.014175e+03	5.672199e+04	1.473205e+01	4.890835e-02	1.523476e-02	1.815083e-02
2.014669e+03	5.690233e+04	1.478252e+01	3.265187e-02	-2.599208e-03	1.198700e-02
2.015167e+03	5.708395e+04	1.474550e+01	3.784097e-02	1.040244e-02	1.411808e-02
2.015657e+03	5.726284e+04	1.479254e+01	5.517707e-02	-6.042098e-03	1.930794e-02
2.016169e+03	5.744983e+04	1.477577e+01	3.566791e-02	-2.591849e-04	1.304380e-02
2.016639e+03	5.762174e+04	1.477504e+01	4.658468e-02	-6.898750e-06	1.669819e-02
2.017168e+03	5.781525e+04	1.466379e+01	3.945458e-02	4.071359e-02	1.573179e-02
2.017626e+03	5.798236e+04	1.483019e+01	4.462934e-02	-1.869887e-02	1.529819e-02
2.018168e+03	5.818029e+04	1.474106e+01	4.711226e-02	1.198925e-02	1.738162e-02
2.018615e+03	5.834363e+04	1.477813e+01	4.787107e-02	-1.080936e-03	1.708613e-02
2.019171e+03	5.854644e+04	1.475440e+01	4.433218e-02	7.237182e-03	1.622625e-02
2.019619e+03	5.870984e+04	1.386435e+01	5.635437e-02	4.957003e-01	4.550049e-02
2.020169e+03	5.891079e+04	1.342580e+01	4.504083e-02	9.302231e-01	5.439847e-02
2.020615e+03	5.907401e+04	1.340705e+01	5.639337e-02	9.530068e-01	6.922151e-02
