,sigma,sigma.err,ampl,ampl.err,fval,chi2,chi2dof,filename,humidity,filter,obsmjd,ccdid,amp_id,gain,readnoi,darkcur,magzp,magzpunc,magzprms,clrcoeff,clrcounc,zpclrcov,zpmed,zpavg,zprmsall,clrmed,clravg,clrrms,qid,rcid,seeing,maglim,status,filterid,fieldid,moonalt,moonillf,target_x,target_y,data_hasnan,F0,F0.err,Fratio,Fratio.err,upper_limit,mag,mag_err
0,19.242195343947067,0.5495613260236905,-116.97791463479476,111.82803902912524,5470.067203918038,623.7262573242188,1.001165742093449,ztf_20180331507141_000634_zg_c10_o.fits,9.0,ZTF g,58208.5071875,10,3,5.2240073653396,10.0,1.0,26.325,1.38293e-05,0.040823,-0.007367,4.26107e-05,-2.273e-05,26.120001,26.120819,0.040849,0.474,0.533,0.200076,4,39,3.063,19.28,1,1,634,21.1417,1.0,1795.934497751757,857.8368146535515,False,33884415613.920204,431594.4764446504,-3.4522630098639964e-09,3.300279406120576e-09,19.28,99.0,99.0
1,14.208419398614268,0.3963595773464199,44.472021249216894,88.97044344264727,5091.14017011228,623.9447021484375,1.0015163758401886,ztf_20180401466030_000634_zg_c10_o.fits,17.0,ZTF g,58209.4660417,10,3,6.01547983744032,10.0,1.0,26.325,1.18959e-05,0.041009,-0.009472,3.64482e-05,-1.946e-05,26.271999,26.273269,0.041054,0.477,0.534,0.202971,4,39,3.491,19.43,1,1,634,37.4818,-0.98926,1787.4337439524295,874.2005572038549,False,33884415613.920204,371255.5756500992,1.3124623943919266e-09,2.6257039359247854e-09,19.43,99.0,99.0
2,13.27889334189816,0.3691978579911792,-4.700850115609071,86.49292041480379,5006.64109097452,624.024658203125,1.001644716216894,ztf_20180401486088_000634_zg_c10_o.fits,17.0,ZTF g,58209.4860995,10,3,6.04461588906839,10.0,1.0,26.325,1.20662e-05,0.041108,-0.003774,3.64407e-05,-1.957e-05,26.278999,26.279364,0.041115,0.477,0.537,0.206641,4,39,3.691,19.41,1,1,634,32.6954,-0.988815,1788.9801269409995,874.3085215915835,False,33884415613.920204,376570.41727899754,-1.3873192234361256e-10,2.5525870476953727e-09,19.41,99.0,99.0
3,20.61494499127224,0.5885363037073247,60.41896526852752,101.71241616041448,5556.238753711163,623.7485961914062,1.001201599023124,ztf_20180402363681_000634_zg_c10_o.fits,25.0,ZTF g,58210.3637037,10,3,4.97286925089836,10.0,1.0,26.325,1.0535e-05,0.038888,-0.037802,3.22718e-05,-1.723e-05,26.066,26.064638,0.039643,0.474,0.534,0.20373,4,39,2.619,19.52,1,1,634,46.3351,-0.960811,1777.6853648116703,843.4062687946033,False,33884415613.920204,328783.6556690789,1.7830900776611458e-09,3.0017462104413296e-09,19.52,99.0,99.0
4,15.097025594010198,0.4207554491556695,58.47923029325467,66.23803810657483,5166.643114242228,623.6135864257812,1.0009848899290228,ztf_20180402405162_000634_zg_c10_o.fits,33.0,ZTF g,58210.4051736,10,3,5.69971143983702,10.0,1.0,26.325,6.9397e-06,0.037332,-0.02171,1.95236e-05,-1.078e-05,26.214001,26.213038,0.03765,0.481,0.552,0.224688,4,39,2.253,20.05,1,1,634,47.0504,-0.959088,1783.045671276611,856.4470245702691,False,33884415613.920204,216579.01616010503,1.7258444400980187e-09,1.9548230921951603e-09,20.05,99.0,99.0
5,13.64246616489487,0.3824524690463098,-67.51787235297265,62.79728386408224,5040.118178884814,623.754638671875,1.0012112980286918,ztf_20180402428333_000634_zg_c10_o.fits,29.0,ZTF g,58210.4283449,10,3,5.86836001975273,10.0,1.0,26.325,6.4383e-06,0.036046,-0.013495,1.7837e-05,-9.92e-06,26.246,26.245902,0.036176,0.483,0.556,0.227453,4,39,2.283,20.08,1,1,634,45.5129,-0.958115,1784.6113990728722,863.7628409480772,False,33884415613.920204,200930.9739244642,-1.9925936785297645e-09,1.8532792355303463e-09,20.08,99.0,99.0
6,12.111086141859817,0.3456205851889304,-90.50858638224446,57.986169340196525,4891.300881479879,623.7862548828125,1.0012620463608548,ztf_20180402448507_000634_zg_c10_o.fits,29.0,ZTF g,58210.4485301,10,3,5.94905390857201,10.0,1.0,26.325,6.0391e-06,0.034801,-0.008787,1.69951e-05,-9.38e-06,26.261,26.261029,0.034857,0.481,0.552,0.224814,4,39,2.418,20.08,1,1,634,43.1513,-0.95728,1788.5852894050984,867.1028040174882,False,33884415613.920204,188472.46084016463,-2.6710977522381184e-09,1.7112931798227715e-09,20.08,99.0,99.0
7,12.000054166906107,0.3342166031192052,145.06456839287645,54.53022098082435,4879.799928425849,623.7767333984375,1.001246763079354,ztf_20180402463079_000634_zg_c10_o.fits,28.0,ZTF g,58210.4631481,10,3,5.96848063781759,10.0,1.0,26.325,6.1786e-06,0.035705,-0.017597,1.72516e-05,-9.57e-06,26.264,26.263483,0.035923,0.484,0.555,0.224897,4,39,2.219,20.2,1,1,634,40.9272,-0.95666,1786.7940099818532,871.3716365136455,False,33884415613.920204,192826.07450564503,4.281158927034346e-09,1.609300913092071e-09,20.2,99.0,99.0
8,12.792923204300092,0.3639324284305744,18.21875319877397,61.91289677739088,4959.785458338769,623.781494140625,1.0012544047201044,ztf_20180402464074_000634_zg_c10_o.fits,28.0,ZTF g,58210.4640972,10,3,5.97588534854948,10.0,1.0,26.325,6.7699e-06,0.036919,-0.012697,1.91492e-05,-1.056e-05,26.264999,26.265037,0.037027,0.481,0.551,0.222635,4,39,2.448,20.06,1,1,634,40.7695,-0.956611,1786.5941291425463,871.5223696919013,False,33884415613.920204,211279.77888126217,5.376735253857955e-10,1.8271791221938733e-09,20.06,99.0,99.0
9,11.346949531289289,0.3163027579980312,67.6427912878496,53.7707334104818,4809.724442904196,623.6776123046875,1.0010876602001404,ztf_20180402485035_000634_zg_c10_o.fits,28.0,ZTF g,58210.4850463,10,3,6.0183050063554,10.0,1.0,26.325,6.0871e-06,0.035391,-0.022084,1.69862e-05,-9.42e-06,26.271999,26.27148,0.03574,0.484,0.554,0.225664,4,39,2.356,20.16,1,1,634,36.9239,-0.955711,1790.2206254655214,872.1396356172057,False,33884415613.920204,189970.4784454912,1.9962802976617066e-09,1.5868868456957937e-09,20.16,99.0,99.0
