,sigma,sigma.err,ampl,ampl.err,fval,chi2,chi2dof,filename,humidity,filter,obsmjd,ccdid,amp_id,gain,readnoi,darkcur,magzp,magzpunc,magzprms,clrcoeff,clrcounc,zpclrcov,zpmed,zpavg,zprmsall,clrmed,clravg,clrrms,qid,rcid,seeing,maglim,status,filterid,fieldid,moonalt,moonillf,target_x,target_y,data_hasnan,F0,F0.err,Fratio,Fratio.err,upper_limit,mag,mag_err
0,19.242224900018705,0.5369406127151467,-117.1698844498395,111.83203734082413,5470.066004386662,623.7232666015625,1.0011609415755418,ztf_20180331507141_000634_zg_c10_o.fits,9.0,ZTF g,58208.5071875,10,3,5.2240073653396,10.0,1.0,26.325,1.38293e-05,0.040823000000000005,-0.007367,4.2610699999999995e-05,-2.273e-05,26.120001000000002,26.120819,0.040849,0.474,0.5329999999999999,0.200076,4,39,3.063,19.28,1,1,634,21.1417,1.0,1795.93259966296,857.8364353079288,False,33884415613.920204,431594.4764446504,-3.4579284407580113e-09,3.3003974046652965e-09,19.28,99.0,99.0
1,14.208796829373828,0.4029320807466703,45.28055836114581,88.7291927605202,5091.141271162749,623.9072875976562,1.0014563203814708,ztf_20180401466030_000634_zg_c10_o.fits,17.0,ZTF g,58209.46604169999,10,3,6.015479837440321,10.0,1.0,26.325,1.1895899999999999e-05,0.041009,-0.009472,3.64482e-05,-1.946e-05,26.271998999999997,26.273269,0.041054,0.47700000000000004,0.534,0.202971,4,39,3.491,19.43,1,1,634,37.4818,-0.98926,1787.4318458502123,874.2001776436099,False,33884415613.920204,371255.5756500992,1.3363240162401946e-09,2.618584123536012e-09,19.43,99.0,99.0
2,13.28157856720666,0.3699521403023912,-4.637333209900938,86.8245311948577,5006.641052797852,623.7713623046875,1.0012381417410714,ztf_20180401486088_000634_zg_c10_o.fits,17.0,ZTF g,58209.4860995,10,3,6.04461588906839,10.0,1.0,26.325,1.2066199999999998e-05,0.041108,-0.003774,3.6440700000000005e-05,-1.957e-05,26.278999,26.279364,0.041115,0.47700000000000004,0.537,0.206641,4,39,3.6910000000000003,19.41,1,1,634,32.6954,-0.988815,1788.9782287984162,874.3081421326555,False,33884415613.920204,376570.4172789975,-1.3685740556186117e-10,2.5623735756329297e-09,19.41,99.0,99.0
3,20.613410354679672,0.5754157983282184,59.78803398946693,101.49684459803764,5556.239326201917,623.83837890625,1.0013457125300964,ztf_20180402363681_000634_zg_c10_o.fits,25.0,ZTF g,58210.36370369999,10,3,4.972869250898361,10.0,1.0,26.325,1.0535e-05,0.038888,-0.037801999999999995,3.22718e-05,-1.723e-05,26.066,26.064638000000002,0.039643,0.474,0.534,0.20373,4,39,2.6189999999999998,19.52,1,1,634,46.3351,-0.9608110000000001,1777.6834673591645,843.4058887790538,False,33884415613.920204,328783.6556690789,1.7644699755395854e-09,2.9953842426014635e-09,19.52,99.0,99.0
4,15.09440802650352,0.4276565358076988,58.71483536670728,66.29066037912682,5166.644755588925,623.829345703125,1.0013312130066212,ztf_20180402405162_000634_zg_c10_o.fits,33.0,ZTF g,58210.4051736,10,3,5.699711439837019,10.0,1.0,26.325,6.939700000000001e-06,0.037332,-0.02171,1.95236e-05,-1.078e-05,26.214001,26.213038,0.03765,0.48100000000000004,0.552,0.224688,4,39,2.253,20.05,1,1,634,47.0504,-0.9590879999999999,1783.0437735200178,856.4466448389837,False,33884415613.920204,216579.01616010506,1.732797638764246e-09,1.956376085558222e-09,20.05,99.0,99.0
5,13.640593688916939,0.3874429298944868,-67.51406730646305,62.518130511839935,5040.120177084149,623.9022827148438,1.0014482868617074,ztf_20180402428333_000634_zg_c10_o.fits,29.0,ZTF g,58210.4283449,10,3,5.86836001975273,10.0,1.0,26.325,6.438300000000001e-06,0.036045999999999995,-0.013494999999999998,1.7837e-05,-9.92e-06,26.246,26.245902,0.036176,0.483,0.556,0.22745300000000002,4,39,2.283,20.08,1,1,634,45.5129,-0.9581149999999999,1784.6095012144751,863.7624613992173,False,33884415613.920204,200930.97392446423,-1.9924813836460943e-09,1.8450408360425867e-09,20.08,99.0,99.0
6,12.111042265548258,0.3442911030781334,-90.41318586126721,57.894160704720115,4891.298275408908,623.7620849609375,1.0012232503385834,ztf_20180402448507_000634_zg_c10_o.fits,29.0,ZTF g,58210.4485301,10,3,5.94905390857201,10.0,1.0,26.325,6.0390999999999995e-06,0.034801,-0.008787,1.69951e-05,-9.38e-06,26.261,26.261028999999997,0.034857,0.48100000000000004,0.552,0.22481399999999999,4,39,2.418,20.08,1,1,634,43.1513,-0.9572799999999999,1788.5833914782736,867.1024244628438,False,33884415613.920204,188472.4608401646,-2.66828228326075e-09,1.7085778124832281e-09,20.08,99.0,99.0
7,12.000162583039579,0.3484260461249181,145.1240154816909,54.68691061453328,4879.794694466756,623.730224609375,1.0011721101274078,ztf_20180402463079_000634_zg_c10_o.fits,28.0,ZTF g,58210.463148099996,10,3,5.96848063781759,10.0,1.0,26.325,6.1786000000000004e-06,0.035705,-0.017597,1.72516e-05,-9.57e-06,26.264,26.263483,0.035923000000000004,0.484,0.555,0.22489699999999999,4,39,2.219,20.2,1,1,634,40.9272,-0.9566600000000001,1786.7921119109362,871.3712570050925,False,33884415613.920204,192826.07450564505,4.282913335004422e-09,1.613925152018941e-09,20.2,99.0,99.0
8,12.793053962509855,0.371470853548161,18.252689109059556,61.74451535831522,4959.7858384190795,623.78466796875,1.0012594991472712,ztf_20180402464074_000634_zg_c10_o.fits,28.0,ZTF g,58210.4640972,10,3,5.975885348549481,10.0,1.0,26.325,6.7699e-06,0.036919,-0.012697,1.91492e-05,-1.056e-05,26.264999,26.265037,0.037027,0.48100000000000004,0.551,0.222635,4,39,2.448,20.06,1,1,634,40.7695,-0.9566110000000001,1786.5922311393704,871.521990164659,False,33884415613.920204,211279.77888126217,5.38675045101297e-10,1.8222098342181407e-09,20.06,99.0,99.0
9,11.345661903270885,0.31604549356269496,67.6796207990318,53.92397591591522,4809.722573999229,623.7901611328125,1.0012683164250602,ztf_20180402485035_000634_zg_c10_o.fits,28.0,ZTF g,58210.485046300004,10,3,6.0183050063554,10.0,1.0,26.325,6.0871000000000006e-06,0.035391000000000006,-0.022084,1.69862e-05,-9.42e-06,26.271998999999997,26.27148,0.03574,0.484,0.5539999999999999,0.22566399999999998,4,39,2.356,20.16,1,1,634,36.9239,-0.9557110000000001,1790.2187275009699,872.1392561483186,False,33884415613.920204,189970.47844549123,1.9973672135938515e-09,1.5914093526552502e-09,20.16,99.0,99.0
10,12.702447016913633,0.3609934442446427,-29.498538443898244,62.92624767978561,4950.929175441823,623.7725830078125,1.0012401011361356,ztf_20180402486551_000634_zg_c10_o.fits,27.0,ZTF g,58210.4866204,10,3,6.01267529637876,10.0,1.0,26.325,7.2783e-06,0.038274,-0.005932,2.05061e-05,-1.132e-05,26.271998999999997,26.271133000000003,0.038297000000000005,0.483,0.552,0.223584,4,39,2.633,20.04,1,1,634,36.6092,-0.955635,1790.4310186852535,872.8032381931749,False,33884415613.920204,227146.2820176798,-8.705635882880572e-10,1.8570852275299476e-09,20.04,99.0,99.0
11,15.410582951732286,0.4430643477937315,-24.118828705649964,102.1347532832192,5192.528316967661,623.779052734375,1.001250485929976,ztf_20180403400579_000634_zg_c10_o.fits,66.0,ZTF g,58211.4005903,10,3,5.78975307701283,10.0,1.0,26.325,1.1972999999999999e-05,0.039076,-0.037062,3.72116e-05,-1.973e-05,26.233,26.230969,0.039785,0.47100000000000003,0.53,0.201664,4,39,3.737,19.35,1,1,634,42.6299,-0.9087770000000001,1785.1012784425693,848.963134924812,False,33884415613.920204,373661.766428655,-7.117970981250036e-10,3.014210262537539e-09,19.35,99.0,99.0
12,14.875878071396814,0.4153940976335545,-128.14663615769138,126.20982363621886,5148.331961269072,623.7544555664062,1.0012110041194322,ztf_20180403422338_000634_zg_c10_o.fits,70.0,ZTF g,58211.42236109999,10,3,5.80537184567342,10.0,1.0,26.325,1.98734e-05,0.043238,-0.035893,6.34369e-05,-3.333e-05,26.233999,26.234207,0.043789,0.47,0.525,0.19302,4,39,4.704,18.92,1,1,634,43.3007,-0.907508,1784.071347750424,850.3346736612317,False,33884415613.920204,620222.9807853699,-3.781875349948397e-09,3.72471596075473e-09,18.92,99.0,99.0
13,13.20066994698141,0.3683490004765221,-103.97008591553673,110.3677732352252,4999.01798362752,623.7889404296875,1.001266357029996,ztf_20180403447431_000634_zg_c10_o.fits,59.0,ZTF g,58211.4474421,10,3,5.86262166285064,10.0,1.0,26.325,1.73095e-05,0.042473000000000004,-0.011293000000000001,5.3313e-05,-2.843e-05,26.243999,26.245123,0.042533999999999995,0.47200000000000003,0.5329999999999999,0.200705,4,39,4.622,19.0,1,1,634,42.6577,-0.906017,1785.8034642184325,855.8517197576672,False,33884415613.920204,540206.9945708516,-3.0683747685122927e-09,3.257183907351542e-09,19.0,99.0,99.0
14,12.56542424137746,0.3569410461480728,16.758436881513198,109.19444240976506,4937.398851852422,623.8253784179688,1.0013248449726626,ztf_20180403467477_000634_zg_c10_o.fits,60.0,ZTF g,58211.4675,10,3,6.007172802868039,10.0,1.0,26.325,1.93166e-05,0.042766000000000005,-0.033912,6.16766e-05,-3.243e-05,26.2675,26.269423,0.043257,0.47200000000000003,0.526,0.191808,4,39,4.984,18.92,1,1,634,41.0901,-0.9048379999999999,1787.1849211916312,858.9893750263251,False,33884415613.920204,602845.9765635813,4.945765354922808e-10,3.2225564594159175e-09,18.92,99.0,99.0
15,13.072366335201494,0.3648194957951171,129.89575408993556,104.24117850275972,4986.714655385305,623.716064453125,1.001149381144663,ztf_20180403483067_000634_zg_c10_o.fits,70.0,ZTF g,58211.48313659999,10,3,5.92430839745425,10.0,1.0,26.325,1.43383e-05,0.040457,-0.01971,4.4426000000000005e-05,-2.361e-05,26.256001,26.258477000000003,0.04065,0.47200000000000003,0.532,0.200553,4,39,4.527,19.16,1,1,634,39.2765,-0.903869,1793.1949470115635,856.6338680997015,False,33884415613.920204,447479.7048011346,3.833495479750063e-09,3.0763752783757764e-09,19.16,99.0,99.0
16,12.882595591051006,0.3529138098437963,-135.27585840151738,133.74172685081064,4968.511462528344,623.7698364257812,1.0012356924972412,ztf_20180403518345_000634_zg_c10_o.fits,59.0,ZTF g,58211.5184606,10,3,6.016159603678259,10.0,1.0,26.325,3.5457600000000004e-05,0.044502999999999994,-0.037548000000000005,0.0001161292,-6.084e-05,26.268,26.270913,0.044989999999999995,0.479,0.524,0.175771,4,39,6.162000000000001,18.45,1,1,634,33.5772,-0.9017719999999999,1798.2889521225811,859.8229798589031,False,33884415613.920204,1106585.6050547634,-3.9922736145977425e-09,3.94699818487743e-09,18.45,99.0,99.0
17,6.867171698678164,0.19216594177168667,-73.29701196878995,34.283089394625094,4182.056175307571,623.816162109375,1.0013100515399278,ztf_20180408370197_000634_zr_c10_o.fits,69.0,ZTF_r,58216.3702199,10,3,6.2,10.0,1.0,26.191049,2.004e-06,0.023402000000000003,0.108447,4.5038e-06,-2.76e-06,26.250999,26.257412,0.037104000000000005,0.517,0.612,0.26550100000000004,4,39,2.718,20.86,1,2,634,-1.90018,-0.49609200000000003,1774.0991449374787,916.8584808744232,False,29951570541.390247,55283.17753603642,-2.4471842592527955e-09,1.1446174198950947e-09,20.86,99.0,99.0
18,5.50772892469329,0.15357992736073905,-5.371052262563709,28.285730889676017,3906.4997722540375,624.1124267578125,1.0017855967220104,ztf_20180408378322_000634_zr_c10_o.fits,65.0,ZTF_r,58216.3783218,10,3,6.2,10.0,1.0,26.177442000000003,1.9564e-06,0.023138,0.114888,4.3933e-06,-2.69e-06,26.240999,26.247753999999997,0.038333,0.516,0.612,0.266016,4,39,2.687,20.82,1,2,634,0.251979,-0.49536,1772.6542166864238,915.4077700674983,False,29578544538.22586,53297.90448267889,-1.8158609040490227e-10,9.562921817577123e-10,20.82,99.0,99.0
19,5.828815684432478,0.17163766079210938,71.25046234446529,30.558164588787125,3977.204474856213,623.9157104492188,1.0014698402074138,ztf_20180408383461_000634_zr_c10_o.fits,60.0,ZTF_r,58216.383483800004,10,3,6.2,10.0,1.0,26.183170999999998,2.0458e-06,0.023608,0.11366500000000002,4.6101e-06,-2.82e-06,26.246,26.252646999999996,0.038258999999999994,0.517,0.611,0.264881,4,39,2.82,20.79,1,2,634,1.60981,-0.49487200000000003,1773.832113372626,917.1667952655388,False,29735031300.88026,56028.27534787091,2.396179160650691e-09,1.0276822741456947e-09,20.79,99.0,99.0
20,6.835239645795998,0.19451787951778568,-23.868116814154444,41.5968999199044,4176.037489006118,623.61572265625,1.0009883188703852,ztf_20180408402222_000634_zr_c10_o.fits,59.0,ZTF_r,58216.40223380001,10,3,6.2,10.0,1.0,26.203378,2.6283e-06,0.026815,0.115994,5.913e-06,-3.62e-06,26.268,26.274309999999996,0.040842,0.515,0.612,0.265583,4,39,3.54,20.34,1,2,634,6.4432,-0.49310200000000004,1774.0055471021622,922.5161646449736,False,30293621857.626534,73333.3990148528,-7.878924786983025e-10,1.3731240231175048e-09,20.34,99.0,99.0
21,6.578120472312478,0.17955065082253466,60.63788613004037,39.37153743748375,4128.488318722767,624.0128784179688,1.0016258080545244,ztf_20180408403160_000634_zr_c10_o.fits,57.0,ZTF_r,58216.4031829,10,3,6.2,10.0,1.0,26.195981,2.7803e-06,0.027582,0.11689400000000001,6.2451e-06,-3.82e-06,26.261,26.267515000000003,0.041555,0.517,0.612,0.265897,4,39,3.3710000000000004,20.38,1,2,634,6.68335,-0.493041,1773.0000610631284,922.6685314733644,False,30087936233.59602,77047.71080089622,2.015355445427076e-09,1.308548952381384e-09,20.38,99.0,99.0
22,7.292046382524343,0.2037082143027296,22.135755791648826,44.5561192680351,4257.234564225857,623.9462280273438,1.0015188250840188,ztf_20180408422847_000634_zr_c10_o.fits,74.0,ZTF_r,58216.422858800004,10,3,6.2,10.0,1.0,26.196277,2.8038e-06,0.027777,0.115347,6.298099999999999e-06,-3.85e-06,26.261,26.266840999999996,0.041417,0.516,0.612,0.26634,4,39,3.444,20.26,1,2,634,11.55,-0.491149,1775.6001037731794,927.1724840224227,False,30096140107.800617,77720.12876097245,7.35501486647833e-10,1.4804595907806553e-09,20.26,99.0,99.0
23,5.154879228942527,0.14776289626871242,-19.596210299177073,19.667394882543427,3823.533443345119,623.807373046875,1.0012959438954654,ztf_20180409411817_000634_zr_c10_o.fits,19.0,ZTF_r,58217.411828699995,10,3,6.2,10.0,1.0,26.238781,1.5473e-06,0.020640000000000002,0.101725,3.4727e-06,-2.13e-06,26.295,26.301049,0.034049,0.517,0.612,0.26620900000000003,4,39,1.7719999999999998,21.39,1,2,634,1.0860100000000001,-0.398117,1779.4402494014969,923.1298639709364,False,31297698316.487988,44602.849562237796,-6.261230490822888e-10,6.283974841754496e-10,21.39,99.0,99.0
24,5.415526775166994,0.07602584335423994,62.3304175393316,22.742282791014663,3885.3327495015938,625.072021484375,1.0033258771819824,ztf_20180409425324_000634_zr_c10_o.fits,20.0,ZTF_r,58217.4254051,10,3,6.2,10.0,1.0,26.250840000000004,1.527e-06,0.020518,0.106958,3.4208999999999997e-06,-2.1000000000000002e-06,26.309,26.316365,0.035125,0.518,0.613,0.26655300000000004,4,39,2.061,21.19,1,2,634,4.668159999999999,-0.396863,1779.0874590821131,926.3237155550568,False,31647251617.263153,44509.29517481304,1.9695365111999547e-09,7.18617940863402e-10,21.19,99.0,99.0
25,5.956617847711695,0.1659692697496418,24.705884012284105,27.003479932596022,4004.326594416788,623.9111938476562,1.0014625904456762,ztf_20180409447130_000634_zr_c10_o.fits,21.0,ZTF_r,58217.44717590001,10,3,6.2,10.0,1.0,26.261896999999998,1.7862e-06,0.022153,0.105927,3.9889e-06,-2.45e-06,26.32,26.326905,0.035904000000000005,0.518,0.614,0.266748,4,39,2.26,21.03,1,2,634,10.2352,-0.394833,1781.7358998096972,929.0100368572604,False,31971189893.10743,52597.43493567138,7.727545985897251e-10,8.446191719141554e-10,21.03,99.0,99.0
26,6.05226202936596,0.17758848675202346,-84.01568983587477,26.135972170882006,4024.11685391712,623.7896728515625,1.0012675326670346,ztf_20180409470556_000634_zr_c10_o.fits,20.0,ZTF_r,58217.470625,10,3,6.2,10.0,1.0,26.25409,1.6941e-06,0.021641,0.108206,3.7843e-06,-2.32e-06,26.313000000000002,26.320466999999997,0.036111000000000004,0.518,0.613,0.267156,4,39,2.11,21.11,1,2,634,15.9284,-0.39262600000000003,1788.4646713431964,935.3516056738116,False,31742125178.5644,49527.992185712654,-2.6468199392210493e-09,8.233844465102326e-10,21.11,99.0,99.0
27,6.1219901603702125,0.17058095369028572,-26.407753793126982,27.245347577894158,4038.548574732042,623.93603515625,1.0015024641352328,ztf_20180409482905_000634_zr_c10_o.fits,18.0,ZTF_r,58217.482963,10,3,6.2,10.0,1.0,26.25286,1.8204e-06,0.022353,0.10668,4.0634e-06,-2.49e-06,26.311999999999998,26.318327000000004,0.036226,0.518,0.614,0.267226,4,39,2.272,21.05,1,2,634,18.7692,-0.391494,1789.418029080665,928.8634802283632,False,31706185779.201218,53160.18784260379,-8.328896442173146e-10,8.593070061364074e-10,21.05,99.0,99.0
