,band,telescope,obsmjd,mag_err,alert,mag
0,W1,WISE,56901.17045878,0.07200000000000001,True,14.598495327719544
1,W1,WISE,56903.60414352,0.064,True,14.239889771317904
2,W1,WISE,56903.73568374,0.071,True,14.325545881240512
3,W1,WISE,57451.20273167,0.075,True,14.658002587879864
4,W1,WISE,57622.07085971,0.068,True,14.115373860778451
5,W1,WISE,57814.85541332,0.065,True,14.2038309902465
6,W1,WISE,57814.98644517,0.069,True,14.15752033333704
7,W1,WISE,57982.38957837,0.062,True,14.490259627078652
8,W1,WISE,58342.11101279,0.057,True,14.29249694417954
9,W1,WISE,58342.242298000005,0.099,True,14.318313689968694
10,W1,WISE,58546.279903999995,0.06,True,14.300756192994925
11,W1,WISE,58546.73781161,0.054000000000000006,True,14.1554633691397
12,W1,WISE,58546.93416693,0.07400000000000001,True,14.211039943031011
13,W1,WISE,58709.28206804,0.051,True,13.817396028469314
14,W1,WISE,58709.41297122,0.044000000000000004,True,13.834753184825201
15,W1,WISE,58709.54374706,0.048,True,13.886859573750353
16,W1,WISE,58709.609198599996,0.046,True,13.936973803570448
17,W1,WISE,58709.67465014,0.045,True,13.858245576713578
18,W1,WISE,58709.73997441,0.046,True,13.806167950928103
19,W1,WISE,58709.80542603,0.04,True,13.736809166780848
20,W1,WISE,58709.87087757,0.049,True,13.943113808881227
21,W1,WISE,58709.93620184,0.043,True,13.8286264771508
22,W1,WISE,58709.93632919999,0.10099999999999999,True,14.205890549541687
23,W1,WISE,58710.00165347,0.051,True,13.632926895525095
24,W1,WISE,58710.06710506,0.042,True,13.803106156203793
25,W1,WISE,58710.19788086,0.043,True,13.774537730087706
26,W1,WISE,58710.2633324,0.040999999999999995,True,13.781678437575827
27,W1,WISE,58710.39410819,0.044000000000000004,True,13.819437751130174
28,W2,WISE,56901.17045878,0.16399999999999998,True,13.76454051730883
29,W2,WISE,56903.60414352,0.23,True,14.071111710520496
30,W2,WISE,56903.73568374,0.115,True,13.78907254566169
31,W2,WISE,57451.20273167,0.141,True,13.810548036619725
32,W2,WISE,57622.07085971,0.132,True,13.963206256044518
33,W2,WISE,57814.85541332,0.171,True,13.952944302830563
34,W2,WISE,57814.98644517,0.13,True,13.805433969920433
35,W2,WISE,57982.38957837,0.134,True,13.87093541266448
36,W2,WISE,58342.11101279,0.129,True,14.03613910015154
37,W2,WISE,58342.242298000005,0.158,True,14.03613910015154
38,W2,WISE,58546.279903999995,0.113,True,13.679790501066769
39,W2,WISE,58546.73781161,0.136,True,13.935504624334392
40,W2,WISE,58546.93416693,0.163,True,14.20926553046244
41,W2,WISE,58709.28206804,0.084,True,13.25477981559076
42,W2,WISE,58709.41297122,0.08900000000000001,True,13.27607047755702
43,W2,WISE,58709.54374706,0.08199999999999999,True,13.262889872418933
44,W2,WISE,58709.609198599996,0.073,True,13.174736013591025
45,W2,WISE,58709.67465014,0.081,True,13.208162693781881
46,W2,WISE,58709.73997441,0.076,True,13.200058046680617
47,W2,WISE,58709.80542603,0.086,True,13.247684187897848
48,W2,WISE,58709.87087757,0.09300000000000001,True,13.40089236661991
49,W2,WISE,58709.93620184,0.073,True,13.282154576182784
50,W2,WISE,58709.93632919999,0.10099999999999999,True,13.241602717231313
51,W2,WISE,58710.00165347,0.085,True,13.256807252776053
52,W2,WISE,58710.06710506,0.078,True,13.231467942724196
53,W2,WISE,58710.19788086,0.08199999999999999,True,13.17777426219015
54,W2,WISE,58710.2633324,0.106,True,13.274042549241141
55,W2,WISE,58710.39410819,0.08800000000000001,True,13.284182713947937
