,band,telescope,obsmjd,mag,mag_err,alert
0,J,P200,59031,19.0580886322382,0.50484757366427,True
1,J,P200,59121,19.7811075238275,0.982521776257324,True
2,J,P200,59362,23.9604786314925,46.1370076054369,True
3,H,P200,59031,17.737136444809,0.118517695551469,True
4,H,P200,59121,17.7556647729333,0.120557555230725,True
5,H,P200,59249,18.2610605776416,0.1920215158139,True
6,H,P200,59362,18.4162764326254,0.221531411722202,True
7,Ks,P200,59031,17.1290352916569,0.258010641956797,True
8,Ks,P200,59121,17.4497645518776,0.346622325867711,True
9,Ks,P200,59249,17.8144506498207,0.484880485164955,True
10,Ks,P200,59362,17.9104842842699,0.52968923086663,True
11,UVW1,Swift,58659.7885448448,19.1071747594821,0.119546318761556,True
12,U,Swift,58659.7905128747,18.472754069491,0.118741547864658,True
13,B,Swift,58659.7915243534,18.4764188950076,0.152225014886109,True
14,UVW2,Swift,58659.7944571436,19.525675181543,0.124095883362571,True
15,V,Swift,58659.7973817615,18.3782325910244,0.279906278196936,True
16,UVM2,Swift,58659.8016044712,19.4260368247046,0.111922477199531,True
17,UVW1,Swift,58672.4525955366,19.3362278386706,1.17925154036027,True
18,U,Swift,58672.4536191868,18.7210118080999,0.126958510382617,True
19,B,Swift,58672.4541145829,18.5376810950081,0.14861795419803,True
20,UVW2,Swift,58672.455332737,19.9615328429088,0.144489356720512,True
21,V,Swift,58672.4568844326,18.866203448315,0.375879064741977,True
22,UVM2,Swift,58672.4587656469,19.7951923020456,0.123830597570274,True
23,UVW1,Swift,58678.267107131,19.589538710709,0.164185483524234,True
24,U,Swift,58678.2679651007,18.7467487933017,0.147884712001881,True
25,B,Swift,58678.2684087162,18.1596279124552,0.138585972828246,True
26,UVW2,Swift,58678.2696153778,20.2348618023575,0.184542978003374,True
27,V,Swift,58678.270889909,18.5504666398096,0.347701312764665,True
28,UVM2,Swift,58678.2726693503,20.0360493191101,0.152961462397904,True
29,U,Swift,58683.7623978765,18.8571690434299,0.231351911850726,True
30,B,Swift,58683.7627717699,18.4009634152009,0.236246986242746,True
31,UVW2,Swift,58683.7637992092,19.9705760860691,0.225891801792481,True
32,V,Swift,58683.7648136886,18.5930870683685,0.531129294054326,True
33,UVM2,Swift,58683.7660620427,19.5657182078221,0.193720046738205,True
34,UVW1,Swift,58683.8307233239,19.3415453328707,0.13519049336007,True
35,UVW1,Swift,58688.4083206081,19.433534633755,0.194207465178512,True
36,U,Swift,58688.4092884474,18.570979559562,0.173936895153399,True
37,B,Swift,58688.4098027423,18.492517187148,0.221130397114377,True
38,UVW2,Swift,58688.4112475566,19.765280248673,0.177005451955064,True
39,V,Swift,58688.412679154,18.9154023666188,0.581274650540487,True
40,UVM2,Swift,58688.4146820628,19.7632289518659,0.174224723648991,True
