,band,telescope,obsmjd,mag,mag_err,alert
0,J,P200,59031,19.05808863223816,0.50484757366427,True
1,J,P200,59121,19.781107523827504,0.9825217762573242,True
3,J,P200,59362,23.96047863149255,46.13700760543692,True
4,H,P200,59031,17.737136444808982,0.11851769555146856,True
5,H,P200,59121,17.75566477293328,0.12055755523072527,True
6,H,P200,59249,18.261060577641615,0.1920215158138996,True
7,H,P200,59362,18.416276432625448,0.22153141172220217,True
8,Ks,P200,59031,17.12903529165687,0.2580106419567967,True
9,Ks,P200,59121,17.449764551877582,0.34662232586771075,True
10,Ks,P200,59249,17.81445064982073,0.48488048516495547,True
11,Ks,P200,59362,17.91048428426994,0.5296892308666301,True
