,obsmjd,telescope,band,alert,mag,mag_err
0,58659.7885448448,Swift,UVW1,True,19.107174759482113,0.11954631876155639
1,58659.7905128747,Swift,U,True,18.472754069491018,0.11874154786465758
2,58659.7915243534,Swift,B,True,18.4764188950076,0.1522250148861088
3,58659.7944571436,Swift,UVW2,True,19.52567518154301,0.12409588336257069
4,58659.7973817615,Swift,V,True,18.37823259102435,0.2799062781969363
5,58659.8016044712,Swift,UVM2,True,19.42603682470462,0.11192247719953105
6,58672.4525955366,Swift,UVW1,True,19.336227838670574,1.1792515403602735
7,58672.4536191868,Swift,U,True,18.721011808099945,0.1269585103826167
8,58672.4541145829,Swift,B,True,18.53768109500812,0.14861795419802956
9,58672.455332737,Swift,UVW2,True,19.96153284290883,0.14448935672051244
10,58672.4568844326,Swift,V,True,18.866203448314977,0.3758790647419772
11,58672.4587656469,Swift,UVM2,True,19.795192302045617,0.12383059757027434
12,58678.267107131,Swift,UVW1,True,19.589538710709004,0.1641854835242342
13,58678.2679651007,Swift,U,True,18.746748793301748,0.14788471200188075
14,58678.2684087162,Swift,B,True,18.159627912455186,0.13858597282824575
15,58678.2696153778,Swift,UVW2,True,20.234861802357543,0.1845429780033745
16,58678.270889909,Swift,V,True,18.550466639809557,0.3477013127646654
17,58678.2726693503,Swift,UVM2,True,20.036049319110113,0.15296146239790445
18,58683.7623978765,Swift,U,True,18.857169043429877,0.23135191185072643
19,58683.7627717699,Swift,B,True,18.400963415200906,0.23624698624274637
20,58683.7637992092,Swift,UVW2,True,19.97057608606911,0.22589180179248117
21,58683.7648136886,Swift,V,True,18.59308706836853,0.5311292940543259
22,58683.7660620427,Swift,UVM2,True,19.5657182078221,0.1937200467382046
23,58683.8307233239,Swift,UVW1,True,19.34154533287071,0.13519049336007039
24,58688.4083206081,Swift,UVW1,True,19.43353463375501,0.19420746517851217
25,58688.4092884474,Swift,U,True,18.570979559561962,0.17393689515339877
26,58688.4098027423,Swift,B,True,18.492517187147953,0.22113039711437668
27,58688.4112475566,Swift,UVW2,True,19.76528024867304,0.17700545195506404
28,58688.412679154,Swift,V,True,18.9154023666188,0.5812746505404874
29,58688.4146820628,Swift,UVM2,True,19.763228951865866,0.1742247236489913
30,58693.6874959753,Swift,UVW1,True,19.134972010487893,0.10919286321666687
31,58693.6892163963,Swift,U,True,18.71952056029371,0.12119150031884277
32,58693.6899205749,Swift,B,True,18.399667493209915,0.13205852421188727
33,58693.6912134308,Swift,UVW2,True,19.82391174771797,0.1290574735357719
34,58693.6939606131,Swift,V,True,18.369340065499774,0.24675045181801863
35,58693.6955101378,Swift,UVM2,True,19.539740970973035,0.9926759925951723
36,58705.7479276159,Swift,UVW1,True,19.051280317681137,0.12651976051775568
37,58705.7495035445,Swift,U,True,18.542140488435518,0.13478688096904395
38,58705.7503166473,Swift,B,True,18.336797809145356,0.1548854268837673
39,58705.7526763384,Swift,UVW2,True,19.807604683914423,0.1505401605384395
40,58705.7550273459,Swift,V,True,18.115108888909575,0.2585164468796466
41,58705.7585004806,Swift,UVM2,True,19.580827770270048,0.1286437598156254
42,58707.2698415937,Swift,UVW1,True,19.179619984228594,0.12108130815263717
43,58707.2719360432,Swift,U,True,18.588256933808903,0.12315141133950935
44,58707.273011561,Swift,B,True,18.31766691348414,0.13513646557238157
45,58707.2761364686,Swift,UVW2,True,19.812552746966446,0.13766114087350761
46,58707.2792521827,Swift,V,True,18.637629038866418,0.32805398342332515
47,58707.2838713867,Swift,UVM2,True,19.672214768769752,0.12179941265961015
48,58712.4132152265,Swift,UVW1,True,19.399115724239074,0.14381303718133545
49,58712.4141355115,Swift,U,True,18.74099705589742,0.15004469045650443
50,58712.4146585539,Swift,B,True,18.681789482634645,0.2049092331939445
51,58712.4162941459,Swift,UVW2,True,19.9439831344073,0.15091083636146232
52,58712.4176216079,Swift,V,True,18.476304783241236,0.3105576712643891
53,58712.4198647114,Swift,UVM2,True,19.629000358450416,0.1269756829013057
54,58719.5551929413,Swift,UVW1,True,19.563300269466115,0.2298883491124637
55,58719.5559499557,Swift,U,True,18.35068060058336,0.1721565108021102
56,58719.5563578797,Swift,B,True,18.411457236457217,0.2354938398854015
57,58719.5574835171,Swift,UVW2,True,20.209206581554817,0.24960254683325703
58,58719.5585980457,Swift,V,True,18.007005152793838,0.3410677812060906
59,58719.5601840913,Swift,UVM2,True,19.63404113527469,0.17994492845743762
60,58724.333813217,Swift,UVW1,True,19.68233051312155,0.1628184567990551
61,58724.334907352,Swift,U,True,18.607717797956223,0.133714972335215
62,58724.3354655742,Swift,B,True,18.33843317234633,0.15376252764102763
63,58724.337002968,Swift,UVW2,True,19.83662438739525,0.140218020901922
64,58724.3386210641,Swift,V,True,18.27604741407497,0.25844629781722844
65,58724.3408333301,Swift,UVM2,True,19.83738530366514,0.13087635990802854
66,58729.5793039976,Swift,UVW1,True,19.736571506729458,0.17286209389239637
67,58729.5803761119,Swift,U,True,18.8782022235551,0.16088868173317744
68,58729.5809004307,Swift,B,True,18.6862221457277,0.2740873742288915
69,58729.914646389,Swift,UVW2,True,20.23838903294656,0.24353484720519086
70,58729.9158867621,Swift,V,True,18.692411125844366,0.5437062349582231
71,58729.9180046604,Swift,UVM2,True,19.99287818097615,0.1920783047952356
72,58734.4289056035,Swift,UVW1,True,19.758957490383885,0.17181659161696208
73,58734.4309645537,Swift,U,True,18.64346505641574,0.12819795809721277
74,58734.4320231518,Swift,B,True,18.481542322329606,0.1517857180317387
75,58734.4350946192,Swift,UVW2,True,20.34805296866105,0.18104559019845545
76,58734.4381589987,Swift,V,True,18.338546795646348,0.2680736830455195
77,58734.4428347708,Swift,UVM2,True,20.086388186303385,0.14995834512401618
78,58750.4280853323,Swift,UVW1,True,19.74895406300002,0.14101807587323206
