,names,classification,redshift,peak_mag,peak_absmag
0,ZTF18abyiusv,Unknown,,18.74104905213617,
1,ZTF19aarhrru,Unknown,,18.611964643218563,
2,ZTF20aabcemq,TDE?,0.096,18.572671245725147,-19.64804834826495
3,ZTF18acvwgao,AGN,0.167,18.938372647402936,-20.58354078887178
4,ZTF18abslduk,AGN,0.0456,18.20288849707752,-18.324772044548357
5,ZTF18aakztwr,AGN,0.0792,18.85675638890076,-18.92133475353192
6,ZTF19abcegvm,SN,0.073,18.318718498732512,-19.273020769290678
7,ZTF18acrygry,AGN,0.0837,17.990408163463094,-19.91441198733697
8,ZTF19aayvpbf,Unknown,,18.355592174876904,
9,ZTF19abjmnlw,Unknown,0.137,18.769356941439405,-20.281950645816714
10,ZTF19aawlgne,Unknown,0.030741,18.59864482880337,-17.049137446539785
11,ZTF18aabukgo,SN,0.0261,17.695440481420075,-17.589463936315216
12,ZTF19aarioci,TDE,0.074,18.122761898592408,-19.500033768781577
13,ZTF19ackjsyv,Unknown,,18.90544341289645,
14,ZTF19aakswrb,TDE,0.1206,18.72481528820807,-20.026691318499118
15,ZTF19aaiqmgl,TDE?,0.0296,17.264583124849434,-18.29923091653904
16,ZTF19abisfwx,Unknown,,18.77328272095336,
17,ZTF18abanftq,AGN,0.151,18.99686102591032,-20.284897063648458
18,ZTF18aairvct,AGN,0.0921,16.39143434868177,-21.73350015793418
19,ZTF18abjhbss,Unknown,,17.375776877598504,
20,ZTF18abgqbsh,Unknown,,18.947092981901683,
21,ZTF18abjjkeo,TDE?,0.103,18.682496977004487,-19.701252946246836
22,ZTF18acquzqz,Unknown,,18.361069747139787,
23,ZTF19aabbnzo,TDE,0.091,18.77007186246392,-19.327150389739817
24,ZTF20aaetsrw,Unknown,,18.8776972268818,
25,ZTF19aanwmkp,Unknown,,16.977600523909445,
26,ZTF19accczko,Unknown,,18.74241729650608,
27,ZTF19aaejtoy (Lancel),AGN,0.0356,16.962370177454495,-19.011860227555424
28,ZTF18abuqqeg,Unknown,,15.613234703836932,
29,ZTF19aafltef,Unknown,0.04798,17.046554286651123,-19.595323182275088
30,ZTF19aafljiq,SLSN-II,0.106,17.86283097535044,-20.587602947692595
31,ZTF18acxhvzb,Unknown,0.096,18.735659977562378,-19.48505961642772
32,ZTF18aaidhnq,AGN,0.0422,18.65841995612444,-17.695613442110663
33,ZTF19aavjfha,Unknown,,18.6943977152842,
34,ZTF18adachmi,AGN,0.139,18.628124248831494,-20.457415723691913
35,ZTF18aamsecj,AGN,0.0808,18.942668539217983,-18.88125049216523
36,ZTF20aabqihu,TDE,0.068,18.90092527511056,-18.52915117457892
37,ZTF19aaciohh,Unknown,0.09,18.121181746654536,-19.950570197059868
38,ZTF18aaxlzrb,AGN,0.0618,18.78928209977152,-18.4237007580981
39,ZTF19aamjjcx,Unknown,,17.574026431245073,
40,ZTF20aartnkv,SN,0.0695,18.50453918779772,-18.975200362465205
41,ZTF18aabicqe,Unknown,,17.966963966028693,
42,ZTF18acnbgrj,Unknown,0.057,18.83863017318561,-18.191378041484906
43,ZTF19abucujw,Unknown,,18.92204514712461,
44,ZTF18acaobxm,AGN,0.116,18.948186871137715,-19.712345214859248
45,ZTF18abvpnnb,Unknown,,18.701217941513843,
46,ZTF18abafbmh,AGN,0.173,18.712687709241703,-20.893799669836913
47,ZTF18abmrhkl,Unknown,,18.71896561373677,
48,ZTF18aajupnt,TDE?,0.0367,18.84508898100313,-17.196977212669765
49,ZTF18abtswjk,Unknown,0.0503,17.349017065506633,-19.399032363350923
50,ZTF18abbuwwg,Unknown,0.044,18.085260128806567,-18.362318085771278
51,ZTF18adbnslo,Unknown,,18.93976652029518,
52,ZTF18acnbpsv,AGN,0.0767,18.64116170850661,-19.063524065371148
53,ZTF18aabxsag,Unknown,0.369,18.255656081641323,-23.222698964718827
54,ZTF18adbdhtn,Unknown,,18.44393395598143,
55,ZTF19aadkzep,Unknown,,18.32462652358438,
56,ZTF19aaueksg,Unknown,,18.807296702364628,
57,ZTF19aapreis (Bran),TDE,0.0512,17.864064518329087,-18.923900961534358
58,ZTF18acnbpmd,Unknown,0.34,18.850365888485488,-22.42019842513388
59,ZTF18aampjcm,Unknown,,15.283195102936409,
60,ZTF19aaniqrr,Unknown,0.519,18.72888422473517,-23.629588314073732
61,ZTF18acwyxlc,Unknown,,18.99190975147935,
62,ZTF18aaqkdwf,Unknown,0.0913,18.6949823527468,-19.40982918523249
63,ZTF18aabeeiz,Unknown,,15.913396453952494,
64,ZTF19aafpyse,Unknown,0.036733,18.96605628812857,-17.078014198634023
65,ZTF18aaxnovi,AGN,0.188,18.73095883683967,-21.07561968901723
66,ZTF19abclykm (Steffon),TDE?,0.0935,17.682884056262328,-20.476869871085295
67,ZTF19abhendr,Unknown,,18.61989440979229,
68,ZTF18abfhgug,AGN,0.186,16.07747390177569,-23.703298790718954
69,ZTF18aarutmj,Unknown,,18.13954644187032,
70,ZTF19abovsqr,SN (BUT FROM WHERE?),0.0645,17.394530039624048,-19.915452765252265
71,ZTF19aafnend,SN,0.1203,18.73493755039022,-20.01073620166956
72,ZTF18aanlzzf,Unknown,0.235,15.075759474868908,-25.2740653659257
73,ZTF18aahvkxq,Unknown,,16.85986618337317,
74,ZTF18aapzqup,Unknown,0.067,14.791842510961263,-22.60453822866892
75,ZTF19aatubsj (Tywin),TDE?,0.2666,18.187388475116148,-22.473841725409674
