ztfid,IAU,type,g_band_flux ,L_g_log_erg_s,L_bb_log_erg_s,z
ZTF18aabtxvd,AT2018zr,TDE17,,43.41,43.76,0.075
ZTF18aahqkbt,AT2018bsi,TDE17,,42.69,43.86,0.051
ZTF18abxftqm,AT2018hco,TDE17,,43.39,44.22,0.088
ZTF18acaqdaa,AT2018iih,TDE17,,44.21,44.72,0.212
ZTF18acpdvos,AT2018hyz,TDE17,,43.57,44.1,0.0458
ZTF18actaqdw,AT2018lni,TDE17,,43.26,44.03,0.138
ZTF19aabbnzo,AT2018lna,TDE17,,43.23,44.53,0.091
ZTF19aakiwze,AT2019cho,TDE17,,43.58,44,0.193
ZTF19aakswrb,AT2019bhf,TDE17,,43.5,44.05,0.1206
ZTF17aaazdba,AT2019azh,TDE17,,43.33,44.44,0.022
ZTF19aapreis,AT2019dsg,TDE17,,43.16,44.46,0.0512
ZTF19aarioci,AT2019ehz,TDE17,,43.32,44.04,0.074
ZTF19aatylnl,AT2019eve,TDE17,,42.92,43.15,0.064
ZTF19abhejal,AT2019mha,TDE17,,43.38,44.12,0.148
ZTF19abhhjcc,AT2019meg,TDE17,,43.42,44.36,0.152
ZTF19abidbya,AT2019lwu,TDE17,,43.37,43.7,0.117
ZTF19abzrhgq,AT2019qiz,TDE17,,42.88,43.46,0.0151
,AT2019fdr,Baratheon,,,45.08,0.267
,,Baratheon,,,,
,,Baratheon,,,,
,,Baratheon,,,,
,,Baratheon,,,,
