temp1,temp1_chisq,temp2,temp2_chisq,scale1,scale1_chisq,scale2,scale2_chisq,av,av_chisq,rv,rv_chisq
13000,24.0406204404731,1000,21.5625277499023,1.2E+023,25.1449301383484,7E+018,28.2709121418296,,,,
13300,19.9602619758046,1100,19.7101610542179,1.3E+023,19.6503749621745,2E+019,21.01379606413,,,,
13400,19.1087304607242,1180,18.8578561464122,1.32E+023,19.0386922288204,3.3E+019,19.4653962680137,0.07,19.9465347875245,,
13500,18.5089812215835,1300,18.2203862653114,1.39E+023,18.060874788699,3.4E+019,19.0381535220505,0.08,19.1613341167462,4,18.0509417700785
13689.2022,18.060874788699,1413.83876,18.060874788699,1.47E+023,19.0010939114188,3.6E+019,18.9690743397542,0.1,18.8329307829851,4.38112832,18.0509415480692
13800,18.2140935467314,1500,18.1379069867294,1.5E+023,19.8700280263795,4E+019,18.734523120528,0.2,18.0512765837106,4.5,18.0509416143066
13900,18.6150273559034,1700,18.8801215062115,,,5E+019,18.3570968865805,0.3541301,18.0509415480692,,
14000,19.2644265120638,1750,19.202759330828,,,7.77E+019,18.060874788699,0.5,18.6709072929598,,
,,1900,20.6234603211101,,,1E+020,18.166853653174,0.55,19.1381747015094,,
,,,,,,1.2E+020,18.3956264639703,0.6,19.7659083003569,,
,,,,,,1.5E+020,18.9143266064593,0.8,22.9526225846473,,
,,,,,,1.55E+020,19.0194535677574,,,,
,,,,,,1.6E+020,19.1297869507784,,,,
,,,,,,2E+020,20.2006853952966,,,,
