temp1,temp1_chisq,temp2,temp2_chisq,scale1,scale1_chisq,scale2,scale2_chisq
8000,5.02352723487482,,,,,,
9000,2.24789834656495,,,,,,
9500,1.44399991105718,,,,,,
10000,0.899741866003993,1800,1.34107555709996,3.00E+23,1.68985905374707,,
12000,0.101337836015216,1850,1.08056961369296,3.80E+23,0.892490607613343,,
12778.7889,0.0654441961964664,2000,0.501015857371091,4.00E+23,0.763935890939244,1.00E+20,2.1036451475407
13000,0.0677006309780471,2289.2307,0.0654441961964664,5.00E+23,0.355603819096407,1.20E+20,1.72427362873813
14000,0.120588722266313,2400,0.136595139855847,7.00E+23,0.0897258617513298,2.00E+20,0.859304048258812
20000,0.789720869486408,2600,0.669980297390425,8.19E+23,0.0654441961964664,3.00E+20,0.372699384379195
22000,0.990161966980194,2700,1.15741387156376,9.50E+23,0.0843280586748662,5.31E+20,0.0654441961964664
23000,1.08095723947436,2800,1.79972139520397,2.90E+24,0.905330172478732,8.00E+20,0.300745683433745
24000,1.16577381609369,,,3.00E+24,0.938719741541991,1.00E+21,0.67915097953689
,,,,3.10E+24,0.971115714848778,1.20E+21,1.1502197075105
,,,,3.20E+24,1.00255591585935,1.30E+21,1.40621087369378
,,,,3.30E+24,1.03307794508819,,
,,,,3.40E+24,1.06271663153123,,
,,,,3.50E+24,1.09150929113961,,
,,,,4.00E+24,1.22391203908609,,
