,ztfid,type,in_chance_coincidence,flux_tywin_units
16,ZTF17aaazdba,TDE,no,14.05568267903958
14,ZTF19abzrhgq,TDE,yes,8.776720953582803
18,ZTF18acpdvos,TDE,no,4.816813786010308
22,ZTF19aaejtoy,Nuclear,yes,2.6237360075791374
10,ZTF19aaiqmgl,Baratheon,yes,2.5539436083362204
9,ZTF19abvgxrq,Baratheon,yes,1.9491260924060654
26,ZTF18aapzqup,Nuclear,yes,1.639832537854783
20,ZTF19aapreis,TDE,yes,1.3181400261367116
23,ZTF19aaciohh,Nuclear,yes,1.3081169585380947
27,ZTF19abclykm,Nuclear,yes,1.2421089711337836
25,ZTF18aanlzzf,Nuclear,yes,1.2017204916599944
11,ZTF19aarioci,TDE,yes,1.0861242656638996
24,ZTF19aamjjcx,Nuclear,yes,1.0092530988352968
21,ZTF19aatubsj,Baratheon,yes,1.0
15,ZTF19aailpwl,Baratheon,no,0.9053396133353645
12,ZTF18abxftqm,TDE,no,0.8729705709281016
13,ZTF18acaqdaa,TDE,no,0.8371548278275575
19,ZTF18aahqkbt,TDE,no,0.7399669815914462
5,ZTF19aakswrb,TDE,no,0.6270181622986962
8,ZTF18abjjkeo,Baratheon,no,0.624969415660743
6,ZTF19aabbnzo,TDE,no,0.6206967709819318
1,ZTF19abidbya,TDE,no,0.5188476158330766
7,ZTF19aakiwze,TDE,no,0.4402703941318252
3,ZTF19aatylnl,TDE,no,0.4023149698226286
2,ZTF19abhhjcc,TDE,no,0.37211696817004686
0,ZTF19abhejal,TDE,no,0.3457801424086756
4,ZTF18actaqdw,TDE,no,0.31165909811940173
17,ZTF18aabtxvd,TDE,no,0.2749917156780555
